IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,253,4.98
8.218.181.189,80,80,false,HKG,Asia Pacific,Hong Kong,12,4.98
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,339,4.95
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,246,4.95
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,253,4.90
47.236.149.107,2095,2095,false,SIN,Asia Pacific,Singapore,252,4.88
47.236.145.85,443,443,true,SIN,Asia Pacific,Singapore,246,4.79
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,249,4.57
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,249,4.55
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,252,4.53
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,250,4.52
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,345,4.52
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,249,4.51
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,252,4.50
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,307,4.38
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,256,4.32
8.218.243.95,2086,2086,false,HKG,Asia Pacific,Hong Kong,533,4.32
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,248,4.32
47.236.17.193,2052,2052,false,SIN,Asia Pacific,Singapore,250,4.30
47.238.62.215,443,443,true,HKG,Asia Pacific,Hong Kong,9,4.27
8.219.78.188,8880,8880,false,SIN,Asia Pacific,Singapore,247,4.24
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,11,4.20
8.218.11.90,8080,8080,false,HKG,Asia Pacific,Hong Kong,11,4.16
8.218.243.95,2082,2082,false,HKG,Asia Pacific,Hong Kong,502,4.14
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,15,4.14
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,244,4.12
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,254,4.08
47.236.144.156,8443,8443,true,SIN,Asia Pacific,Singapore,252,4.05
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,15,3.99
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,8,3.97
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,250,3.96
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,255,3.96
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,10,3.94
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,8,3.94
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,404,3.89
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,9,3.85
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,7,3.84
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,256,3.82
47.243.27.217,80,80,false,HKG,Asia Pacific,Hong Kong,135,3.66
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,598,3.65
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,10,3.63
8.217.123.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,11,3.63
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,253,3.60
47.236.117.48,443,443,true,SIN,Asia Pacific,Singapore,248,3.59
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,644,3.53
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,252,3.42
8.218.188.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,488,3.39
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,253,3.34
47.76.33.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,376,3.32
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,252,3.19
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,248,3.16
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,11,3.14
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,254,3.13
47.242.232.14,2095,2095,false,HKG,Asia Pacific,Hong Kong,13,3.12
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,259,3.10
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,251,3.06
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,342,3.06
8.218.52.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,248,3.04
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,12,3.03
