IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.10.1,2052,0,false,SIN,Asia Pacific,Singapore,266,2.45
47.236.171.205,80,0,false,SIN,Asia Pacific,Singapore,277,2.44
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,261,2.43
47.236.83.239,8080,0,false,SIN,Asia Pacific,Singapore,256,2.42
47.237.95.140,80,80,false,SIN,Asia Pacific,Singapore,248,2.42
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,323,2.40
47.236.168.17,8880,0,false,SIN,Asia Pacific,Singapore,265,2.39
47.236.168.17,2052,0,false,SIN,Asia Pacific,Singapore,271,2.39
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,256,2.36
47.236.146.249,2052,2052,false,SIN,Asia Pacific,Singapore,254,2.33
47.236.205.188,2095,0,false,SIN,Asia Pacific,Singapore,264,2.31
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,252,2.29
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,249,2.28
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,260,2.25
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,255,2.20
47.236.102.102,8880,8880,false,SIN,Asia Pacific,Singapore,265,2.20
47.236.237.90,8443,8443,true,SIN,Asia Pacific,Singapore,261,2.16
47.236.205.188,8880,0,false,SIN,Asia Pacific,Singapore,271,2.15
47.236.237.90,8880,0,false,SIN,Asia Pacific,Singapore,262,2.12
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,255,2.12
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,272,2.10
47.236.118.216,2082,2082,false,SIN,Asia Pacific,Singapore,250,2.09
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,255,2.06
47.236.167.231,2095,2095,false,SIN,Asia Pacific,Singapore,247,2.04
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,253,2.04
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,249,2.04
